,name,id,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector,all_in_index,final_scene_size,drama_change_rate,averageCharinScene,avg_max_degree_ratio,max_degree_num_char_ratio,lowWeightedDegree,mediumWeightedDegree,highWeightedDegree,averageCharSpeech,lowSpeech,mediumSpeech,highSpeech,protagonism,mediateness
329,middleton-the-inner-temple-masque,ep000187,0,1619,7,1.0,1.0,1.0,6.0,1,6,7,1,6,0,0,1,21,3,0,2941,2167,259,44,209,0.0,1.0,0.3779644730092272,1.0,0.22857142857142856,0.7661402559428876,3.0,1.0,1.0,0.0,0.0,1.0,36.9298273155416,0.0,0.0,0.0,0.0,0.0
330,middleton-the-mayor-of-quinborough,ep000637,Comedy,1618,35,0.8528249620105898,0.4436974789915966,1.5563025210084034,15.085714285714284,2,29,35,4,31,0,3,1,264,9,5,21898,21021,627,365,2181,0.016857652151769802,0.6522664876456232,0.1584233710358082,1.0,1.0,0.0,9.0,0.5201970443349754,0.8529411764705882,0.34285714285714286,0.3142857142857143,0.34285714285714286,23.02657376240638,0.34285714285714286,0.3142857142857143,0.34285714285714286,0.006126149763093239,0.5529565582795587
331,middleton-the-phoenix,ep000190,Comedy,1603,43,1.0,1.0,1.0,42.0,1,42,43,4,33,6,0,1,903,1,0,21624,21005,286,384,1246,0.0,1.0,0.15249857033260472,1.0,0.6,0.3900255754475703,43.0,1.0,1.0,0.0,0.0,1.0,11.90563642556308,0.3023255813953488,0.3488372093023256,0.3488372093023256,0.0,0.0
332,middleton-the-puritan,ep000243,Comedy,1606,25,0.934753158180268,0.89,1.11,21.36,2,24,25,3,22,0,1,1,267,4,4,20295,19734,569,782,257,0.004782608695652173,0.9121291490293387,0.1983742731800022,1.0,0.5161290322580645,0.6069389547650417,16.0,0.89,1.0,0.08,0.48,0.44,18.315229068957258,0.32,0.32,0.36,0.0031856107110578074,0.28713620431009534
333,middleton-the-revenger-s-tragedy,ep000296,Tragedy,1605,31,0.8730248254476801,0.6817204301075269,1.3182795698924732,20.451612903225808,2,30,31,3,29,0,2,1,317,4,4,21821,21326,478,46,2592,0.010975157582499069,0.7803544785717961,0.17477868551933878,0.875,0.5555555555555556,0.7408163265306122,16.0,0.6817204301075269,1.0,0.0,0.6451612903225806,0.3548387096774194,16.869672184725776,0.3225806451612903,0.3225806451612903,0.3548387096774194,0.00989189020835454,0.3460660179723959
334,middleton-the-widow,ep000594,Comedy,1615,18,0.8452511994178662,0.6666666666666666,1.3398692810457515,11.333333333333334,3,16,18,4,14,0,0,1,102,8,5,21662,20625,289,64,2219,0.021241830065359478,0.7608892178890513,0.22920423517680763,0.8,0.4642857142857143,0.7057666544878821,7.0,0.7083333333333334,0.9411764705882353,0.16666666666666666,0.5,0.3333333333333333,15.111857664785873,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0040620578139345396,0.6122822631792362
335,middleton-william-rowley-a-fair-quarrel,ep000201,Comedy,1615,28,0.8651402385243463,0.626984126984127,1.373015873015873,16.928571428571427,2,27,28,6,22,0,0,1,237,5,5,22129,21399,358,349,1967,0.014346764346764346,0.744088979028781,0.18297951388932124,1.0,0.4642857142857143,0.9167117604617605,12.0,0.626984126984127,1.0,0.17857142857142858,0.42857142857142855,0.39285714285714285,18.961814052787698,0.0,0.0,0.0,0.004499454244882721,0.5027810151349734
336,middleton-women-beware-women,ep000640,Tragedy,1621,28,0.8537782793565631,0.4947089947089947,1.5052910052910051,13.357142857142858,2,27,28,7,20,1,0,1,187,13,5,31720,26722,496,402,2690,0.019434269434269433,0.6796040764015645,0.17487208653632128,1.0,0.5365853658536586,0.6242424242424242,7.0,0.4947089947089947,1.0,0.32142857142857145,0.32142857142857145,0.35714285714285715,20.885480018222594,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.009347292588371232,0.753619531961286
337,middleton-your-five-gallants,ep000795,Comedy,1607,41,0.8844841866122581,0.6487804878048781,1.351219512195122,25.951219512195124,2,40,41,7,34,0,1,1,532,4,4,22216,21662,455,1248,487,0.009005628517823638,0.762868233798196,0.15081576799706498,1.0,1.0,0.0,19.0,0.6487804878048781,1.0,0.17073170731707318,0.4878048780487805,0.34146341463414637,12.831153453088167,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.005356323258296774,0.3286819040490139
338,milton-comus,ep000202,0,1637,6,1.0,1.0,1.0,5.0,1,5,6,2,3,1,0,1,15,1,0,8373,7872,226,0,1039,0.0,1.0,0.408248290463863,1.0,0.9375,0.7683150183150184,6.0,1.0,1.0,0.0,0.0,1.0,110.0954594017094,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
