id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource/0,digitalSource/1,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
ger######,feinde-verwirrte-haus-jacob,feinde-verwirrte-haus-jacob,,,false,Feind,Das verwirrte Haus Jacob,Oder das Gesicht der bestrafften Rebellion an Stilcke und Lütze,0,philomates,32,3,19,17,2,0,0,636,0,,13948,13121,877,,,1703,1703,https://books.google.de/books?id=tmhOAAAAcAAJ,,,,,,6.421052631578948,0.3567251461988304,0.7284221626326889,19,14,1,61,4,1.8538011695906433
ita000065,fiorillo-la-lucilla-costante,fiorillo-la-lucilla-costante,Q84269659,Comedy,false,Fiorillo,La Lucilla costante,,0,several characters,79,5,12,9,3,0,1,1477,70,0,37664,36152,443,1609,1632,,1609,http://www.bibliotecaitaliana.it/testo/bibit001052,,UTET,Torino,1982,,11,1,1,12,11,1,66,1,1
ep000430,fletcher-a-wife-for-a-month,fletcher-a-wife-for-a-month,Q17026288,Tragicomedy,false,Fletcher,A Wife for a Month,,0,several characters,5,4,32,24,7,0,1,27,2653,0,23113,22618,376,1624,,,1624,https://texts.earlyprint.org/works/A27177_29.xml,,,,,,20.25,0.6532258064516129,0.8835482523142248,32,31,1,324,2,1.346774193548387
ger######,frischlin-fraw-wendelgard,frischlin-fraw-wendelgard,,Comedy,false,Frischlin,Fraw Wendelgard,,0,ulrich|wendelgard,15,5,8,6,2,0,0,0,1474,,10884,9306,43,,1579,1589,1579,http://www.textgridrep.org/textgrid:n2m1.0,,,,,,4.5,0.6428571428571429,0.8559523809523809,8,7,1,18,2,1.3571428571428572
ep000021,fulwel-like-will-to-like,fulwel-like-will-to-like,,,false,Fulwel,Like Will to Like,,0,ep000021-vertuous-life,3,0,15,10,0,5,0,124,1081,,13007,11877,580,1568,,,1568,https://texts.earlyprint.org/works/A01353.xml,,,,,,10.933333333333334,0.780952380952381,0.9022177822177824,15,14,1,82,2,1.2190476190476192
fre000680,garnier-bradamante,garnier-bradamante,,Tragicomedy,false,Garnier,Bradamante,Tragi-Comédie,0,aymon,24,0,16,13,3,0,1,0,2015,,19284,17760,0,,,1582,1582,http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/GARNIER_BRADAMANTE.xml,http://theatre-classique.fr/pages/documents/GARNIER_BRADAMANTE.xml,,,,,5.125,0.3416666666666667,0.676722582972583,16,11,2,41,3,1.723809523809524
fre######,garnier-hippolyte,garnier-hippolyte,,Tragedy,false,Garnier,Hippolyte,,0,choeur|phedre,9,5,8,5,3,0,1,0,2508,,19323,19291,17,,,1573,1573,https://fr.wikisource.org/wiki/Hippolyte_(Robert_Garnier),https://books.google.de/books?id=lpwZAAAAYAAJ,,,,,3.75,0.5357142857142857,0.7166666666666667,8,6,2,15,2,1.2857142857142858
ep000029,gascoigne-the-glass-of-government,gascoigne-the-glass-of-government,,Tragedy,false,Gascoigne,The Glass of Government,,0,ep000029-gnomaticus,37,5,18,15,3,0,1,427,287,,29677,26245,326,1575,,,1575,https://texts.earlyprint.org/works/A01520.xml,,,,,,8.11111111111111,0.477124183006536,0.701948976948977,18,13,2,73,3,1.5073529411764706
ita######,gigli-i-litiganti,gigli-i-litiganti,,Comedy,false,Gigli,I litiganti,ovvero il giudice impazzato,0,several characters,47,3,13,10,3,0,0,1195,52,,23326,22918,640,1695,,,1695,https://www.usc.gal/goldoni/bancadati/124,,,,,,8.307692307692308,0.6923076923076923,0.8035409035409037,13,10,1,54,3,1.3333333333333333
ita######,gigli-pazzo-guarisce,gigli-pazzo-guarisce,,Comedy,false,Gigli,Un pazzo guarisce l'altro,,0,several characters,52,3,10,8,2,0,0,1306,8,,21953,21183,985,,1687,,1687,https://www.usc.gal/goldoni/bancadati/53,,,,,,9,1,1,10,9,1,45,1,1
