,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,datePremiered,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector
110,rojas-lo-que-son-mujeres,ESP,Comedy,1644,12,1.0,1.0,1.0,11.0,1,0,11,12,5,7,0,1,1,66,3,3,16068,15876,195,0,3358,0.0,1.0,0.28867513459481287
111,rollenhagen-reichen-mann,GER,0,1590,61,0.7962320455436047,0.1601092896174863,2.246448087431694,9.60655737704918,4,0,38,61,7,54,0,2,1,293,51,5,26068,23389,635,0,3606,0.021126238770028713,0.4591279316539809,0.09358823787859416
112,romero-aunca-razones-bastan,ESP,0,1701,24,0.9135111604219156,0.8188405797101449,1.181159420289855,18.83333333333333,2,0,23,24,3,4,17,1,1,226,3,3,12536,11906,689,0,2418,0.008234519104084322,0.860990048957003,0.20163195477610188
113,rowe-the-fair-penitent,ENG,Tragedy,1714,10,0.9186507936507936,0.8888888888888888,1.1111111111111112,8.0,2,0,9,10,3,7,0,0,1,40,6,5,18481,16578,484,4,1925,0.013888888888888888,0.9104545454545455,0.3143656656091509
114,saint-glas-bouts-rimes,FRE,Comedy,1682,14,0.8492063492063492,0.3186813186813186,1.5,4.142857142857143,2,0,9,14,2,11,1,0,2,29,17,1,8865,8197,179,301,50,0.026556776556776553,0.43992872386537546,0.22266465230699897
115,salviati-granchio,ITA,Comedy,1566,9,0.5629629629629629,0.5,1.5555555555555556,4.0,3,0,6,9,1,8,0,0,1,18,29,5,26016,24755,361,926,0,0.07936507936507935,0.6591149591149591,0.3139049677721904
116,scala-il-finto-marito,ITA,Comedy,1618,10,1.0,1.0,1.0,9.0,1,0,9,12,3,9,0,0,1,45,42,5,41214,40588,193,1420,4,0.0,1.0,0.31622776601683794
117,schlue-isaac,GER,0,1606,25,0.8252927072927073,0.3433333333333333,2.1066666666666665,8.24,4,0,15,25,3,18,4,1,1,103,9,8,13846,11042,2271,0,1577,0.04811594202898551,0.49047539958485253,0.15777482214106286
118,schoch-comoedia-studenten,GER,Comedy,1657,44,0.7627151105599381,0.1247357293868921,1.9036827195467425,5.363636363636363,3,0,29,44,6,37,0,4,5,118,43,6,33120,28460,4319,666,0,0.016057585825027684,0.4006918137918704,0.11837425853789643
119,shadwell-the-libertine,ENG,Tragedy,1676,54,0.8930915279953103,0.4730957372466806,1.5269042627533194,25.074074074074076,2,0,53,54,22,22,10,11,1,677,11,5,28763,25921,1014,1206,455,0.01013277428371768,0.6726425172649466,0.12788091794631753
