,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,all-in_index,final_scene_size,drama_change_rate,protagonism,mediateness
10,barbieri-l-inavertito,ITA,Comedy,1629.0,13.0,0.8520479520479521,0.6538461538461539,1.3461538461538465,7.846153846153846,2.0,12.0,13.0,3.0,10.0,0.0,0.0,1.0,51.0,72.0,5.0,36180.0,34310.0,332.0,1487.0,20.0,0.9444444444444444,0.6153846153846154,0.6235412474849094,0.0,0.0
11,baro-clorise,FRE,Tragicomedy,1634.0,8.0,0.9404761904761904,0.8214285714285714,1.1785714285714286,5.75,2.0,7.0,8.0,3.0,5.0,0.0,0.0,1.0,23.0,27.0,5.0,17646.0,16173.0,188.0,0.0,1939.0,0.37037037037037035,0.875,0.6213369963369964,0.0024069935762111518,0.5773502691896257
12,baron-mirza,ENG,0,1655.0,27.0,0.9323277205885904,0.8831908831908832,1.1168091168091168,22.96296296296296,2.0,26.0,27.0,9.0,21.0,0.0,0.0,1.0,310.0,5.0,10.0,86971.0,33442.0,899.0,534.0,3708.0,1.0,0.8148148148148148,0.5977025691699605,0.013261517383280436,0.5772637843389011
13,barry-ram-alley,ENG,Comedy,1608.0,22.0,0.9287018794758732,0.8787878787878788,1.121212121212121,18.454545454545453,2.0,21.0,22.0,5.0,16.0,1.0,0.0,1.0,203.0,5.0,5.0,22856.0,22148.0,407.0,406.0,2470.0,0.8,0.45454545454545453,0.38369514472455646,0.013261517383280436,0.5772637843389011
14,bartolommei-amore-opera-a-caso,ITA,Comedy,1668.0,8.0,0.9404761904761904,0.9285714285714286,1.0714285714285714,6.5,2.0,7.0,8.0,3.0,5.0,0.0,0.0,1.0,26.0,58.0,3.0,22880.0,22376.0,395.0,1159.0,0.0,0.25862068965517243,0.75,0.614327485380117,0.0,0.2773500981126146
15,belyard-guisien,FRE,Tragedy,1592.0,12.0,0.7827260702260702,0.5303030303030303,1.4696969696969695,5.833333333333333,2.0,11.0,12.0,5.0,6.0,1.0,0.0,1.0,35.0,5.0,5.0,15478.0,15420.0,18.0,0.0,2017.0,1.0,0.5833333333333334,0.774404761904762,0.004250727186439803,0.8382013254117835
16,bienvenu-monde-malait,FRE,Comedy,1568.0,9.0,1.0,1.0,1.0,8.0,1.0,8.0,9.0,0.0,6.0,3.0,0.0,1.0,36.0,4.0,1.0,6294.0,5907.0,469.0,0.0,911.0,0.75,1.0,0.4953703703703704,0.00347676544138517,0.7071067811865475
17,bonicelli-pantalone-bullo,ITA,Comedy,1688.0,20.0,0.7415441176470589,0.2473684210526315,1.7842105263157897,4.7,3.0,17.0,20.0,4.0,16.0,0.0,0.0,1.0,47.0,52.0,3.0,14749.0,13238.0,1609.0,445.0,63.0,0.6538461538461539,0.3,0.6480392156862745,0.00347676544138517,0.7071067811865475
18,braunschweig-fleischhawer,GER,Comedy,1593.0,22.0,0.6762452194270375,0.2987012987012987,1.87012987012987,6.2727272727272725,3.0,13.0,22.0,3.0,19.0,0.0,0.0,1.0,69.0,27.0,5.0,16437.0,16146.0,670.0,215.0,330.0,0.9629629629629629,0.09090909090909091,0.7592032967032968,0.005067285610134492,0.3039201260149649
19,braunschweig-ungeratenen-sohn,GER,Tragedy,1594.0,16.0,0.8109126984126984,0.4916666666666666,1.5083333333333333,7.375,2.0,15.0,16.0,4.0,12.0,0.0,0.0,1.0,59.0,49.0,7.0,18933.0,18249.0,2651.0,282.0,123.0,0.8979591836734694,0.5625,0.7120535714285715,0.003268949251789205,0.4472135954999579
20,bregolini-pausania,ITA,Tragedy,1679.0,21.0,0.4402494331065759,0.3047619047619048,2.0157894736842104,6.095238095238095,5.0,11.0,21.0,6.0,15.0,0.0,0.0,2.0,64.0,32.0,5.0,16414.0,16104.0,68.0,0.0,2926.0,0.6875,0.09523809523809523,0.867383512544803,0.008355005249506714,0.9353622136590843
21,castro-mocedades-cid,ESP,0,1605.0,35.0,0.8973444855797797,0.6470588235294118,1.3529411764705883,22.0,2.0,34.0,35.0,4.0,31.0,0.0,0.0,1.0,385.0,3.0,3.0,16672.0,15858.0,899.0,0.0,3273.0,1.0,0.6,0.6435714285714286,0.0,0.0
22,cecchini-l-amico-tradito,ITA,Comedy,1633.0,12.0,0.7886904761904763,0.5909090909090909,1.290909090909091,6.5,2.0,9.0,12.0,3.0,9.0,0.0,0.0,2.0,39.0,66.0,3.0,13508.0,12645.0,666.0,635.0,0.0,1.0,0.08333333333333333,0.677032967032967,0.059839257157234815,0.7750651132830529
23,centlivre-the-man-s-bewitch-d,ENG,0,1709.0,19.0,0.9235638114895082,0.7953216374269005,1.2046783625730997,14.31578947368421,2.0,18.0,19.0,5.0,14.0,0.0,0.0,1.0,136.0,12.0,5.0,26981.0,24092.0,716.0,1073.0,52.0,0.9166666666666666,0.5789473684210527,0.6043886668886669,0.012621778267449755,0.6302667496097336
24,cervantes-cerco-numancia,ESP,Tragedy,1585.0,46.0,0.9148500049407188,0.3951690821256038,1.6685990338164252,17.782608695652176,3.0,39.0,46.0,8.0,32.0,6.0,0.0,1.0,409.0,4.0,4.0,16132.0,15175.0,1097.0,0.0,2458.0,1.0,0.43478260869565216,0.8891954022988505,0.015223153665446165,0.999666043271478
25,cicognini-mustafa,ITA,0,1663.0,20.0,0.780924075924076,0.4473684210526316,1.5163398692810457,8.5,3.0,14.0,20.0,3.0,16.0,1.0,0.0,3.0,85.0,56.0,3.0,20934.0,20505.0,296.0,824.0,60.0,0.9464285714285714,0.4,0.724594647776466,0.012360380680672715,0.7020801025685122
